Fn,CCDE,DE
F1,2.3355e+03 (2.9732e+03) +,2.7766e+10 (9.7561e+09)
F3,2.9261e+04 (5.5681e+03) +,2.0167e+05 (2.4855e+04)
F4,9.0055e+01 (3.7365e+01) +,5.0494e+02 (1.1383e+02)
F5,3.6733e+02 (1.5062e+01) +,4.8291e+02 (1.8765e+01)
F6,9.3427e+01 (1.8741e+00) -,4.8451e+01 (7.9568e+00)
F7,1.0760e+03 (1.6771e+01) -,5.4171e+02 (2.8521e+01)
F8,4.1197e+02 (1.1352e+01) +,4.9697e+02 (1.4851e+01)
F9,1.2222e+04 (6.6626e+01) -,7.4868e+03 (2.4947e+03)
F10,6.8416e+03 (6.7518e+02) +,1.2899e+04 (3.7875e+02)
F11,1.5839e+02 (5.4754e+01) +,7.9316e+02 (1.5591e+02)
F12,2.5106e+05 (1.8076e+05) +,4.2882e+10 (1.3230e+10)
F13,6.0018e+03 (7.4277e+03) +,4.3553e+09 (1.3903e+09)
F14,4.6832e+03 (3.5070e+03) +,3.5016e+05 (1.2521e+05)
F15,1.1335e+04 (1.1987e+04) +,2.2200e+08 (1.0529e+08)
F16,1.0354e+03 (4.7615e+02) +,4.7252e+03 (4.1672e+02)
F17,7.8212e+02 (2.9171e+02) +,2.8986e+03 (3.3534e+02)
F18,1.1804e+05 (1.8515e+05) +,2.6670e+06 (8.9022e+05)
F19,1.9177e+04 (8.3754e+03) +,3.2041e+07 (1.3023e+07)
F20,1.5658e+03 (7.9445e+01) -,9.2693e+02 (2.0563e+02)
F21,3.7192e+02 (4.1094e+01) +,7.0632e+02 (2.4682e+01)
F22,1.0028e+04 (4.5074e+02) -,6.7118e+02 (1.7360e+02)
F23,6.8926e+02 (9.2491e+01) +,9.4827e+02 (3.9312e+01)
F24,7.3563e+02 (5.4844e+01) +,1.0552e+03 (3.0807e+01)
F25,4.4758e+02 (2.2270e+01) +,6.9560e+02 (7.3307e+01)
F26,9.5646e+02 (2.0278e+03) +,2.8911e+03 (1.8712e+03)
F27,5.0001e+02 (4.4326e-04) +,5.0001e+02 (6.3771e-05)
F28,4.9498e+02 (1.4739e+01) +,5.0001e+02 (7.0956e-05)
F29,7.8602e+02 (3.4178e+02) +,4.3217e+03 (2.4849e+02)
F30,2.5625e+03 (2.9036e+03) +,6.9668e+08 (2.6506e+08)
w/t/l,24/0/5,
