Fn,CCPSO,PSO
F1,4.3784e+09 (1.5480e+09) +,5.7880e+11 (9.9671e+10)
F3,1.6360e+05 (3.3586e+04) +,1.8851e+05 (4.7309e+04)
F4,3.1006e+02 (6.2846e+01) +,1.0467e+04 (3.4600e+03)
F5,2.3333e+02 (3.4473e+01) +,4.5294e+02 (5.3294e+01)
F6,5.4234e+01 (1.2593e+01) +,8.4178e+01 (1.2614e+01)
F7,3.7633e+02 (1.0334e+02) +,1.3288e+03 (1.7957e+02)
F8,2.2370e+02 (3.3111e+01) +,4.4785e+02 (4.9772e+01)
F9,8.0355e+03 (2.2349e+03) +,1.2434e+04 (3.3323e+03)
F10,6.9300e+03 (8.8820e+02) +,7.7032e+03 (8.7835e+02)
F11,7.9963e+02 (2.9398e+02) +,7.3396e+03 (4.1698e+03)
F12,5.0427e+08 (2.7337e+08) +,7.4543e+10 (3.7339e+10)
F13,1.1090e+05 (6.8470e+04) +,1.3709e+10 (1.4983e+10)
F14,5.9931e+05 (4.6861e+05) +,5.6934e+06 (9.0970e+06)
F15,4.8012e+04 (3.4598e+04) +,1.8622e+08 (7.7388e+08)
F16,1.9389e+03 (4.2373e+02) +,2.8058e+03 (4.7062e+02)
F17,1.4589e+03 (3.8524e+02) +,2.0815e+03 (4.0878e+02)
F18,2.4341e+06 (1.5662e+06) +,1.8533e+07 (1.3895e+07)
F19,1.9221e+06 (2.3810e+06) +,3.8944e+07 (3.3788e+07)
F20,1.0594e+03 (2.9750e+02) +,1.3384e+03 (3.7497e+02)
F21,4.2260e+02 (4.2990e+01) +,6.9252e+02 (5.9549e+01)
F22,6.9549e+03 (1.5080e+03) +,8.6789e+03 (9.2593e+02)
F23,8.3205e+02 (9.1481e+01) +,1.3089e+03 (1.3024e+02)
F24,9.6610e+02 (8.5361e+01) +,1.3878e+03 (1.7198e+02)
F25,6.9594e+02 (5.9784e+01) +,6.7658e+03 (1.5695e+03)
F26,5.6147e+03 (9.3668e+02) +,1.0249e+04 (1.3171e+03)
F27,5.8531e+02 (1.3273e+02) +,1.5090e+03 (2.8062e+02)
F28,7.8876e+02 (2.5770e+02) +,5.4222e+03 (1.1041e+03)
F29,2.1062e+03 (5.3692e+02) +,4.9238e+03 (1.5348e+03)
F30,4.7206e+07 (4.1088e+07) +,6.1098e+08 (4.1649e+08)
w/t/l,29/0/0,
